 Mortalidade - Brasil
Óbitos p/Residênc por Município e Ano do Óbito
Faixa Etária: 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:1993-1995
"Município";"1993";"1994";"1995";"Total"
"354260 Registro";161;156;139;456
"354270 Restinga";9;10;10;29
"354280 Ribeira";17;17;20;54
"354290 Ribeirão Bonito";38;45;49;132
"354300 Ribeirão Branco";50;41;47;138
"354310 Ribeirão Corrente";7;16;16;39
"354320 Ribeirão do Sul";14;14;16;44
"354325 Ribeirão Grande";10;21;23;54
"354330 Ribeirão Pires";242;280;300;822
"354340 Ribeirão Preto";1631;1689;1689;5009
"354360 Rifaina";10;9;15;34
"354370 Rincão";36;30;40;106
"354380 Rinópolis";44;58;50;152
"354390 Rio Claro";713;658;675;2046
"354400 Rio das Pedras";55;64;74;193
"354410 Rio Grande da Serra";56;66;65;187
"354420 Riolândia";22;33;27;82
"354350 Riversul";32;34;34;100
"354425 Rosana";20;25;23;68
"354430 Roseira";20;26;25;71
"354440 Rubiácea";10;10;9;29
"354450 Rubinéia";10;9;10;29
"354460 Sabino";20;19;28;67
"354470 Sagres";10;9;10;29
"354480 Sales";18;9;24;51
"354490 Sales Oliveira";31;23;39;93
"354500 Salesópolis";50;51;46;147
"354510 Salmourão";10;21;12;43
"354515 Saltinho";19;19;14;52
"354520 Salto";227;246;218;691
"354530 Salto de Pirapora";87;93;99;279
"354540 Salto Grande";44;46;31;121
"354550 Sandovalina";9;10;8;27
"354560 Santa Adélia";56;46;77;179
"354570 Santa Albertina";27;40;22;89
"354580 Santa Bárbara d'Oeste";374;372;357;1103
"354600 Santa Branca";48;40;54;142
"354610 Santa Clara d'Oeste";19;7;10;36
"354620 Santa Cruz da Conceição";15;9;7;31
"354630 Santa Cruz das Palmeiras";78;81;97;256
"354640 Santa Cruz do Rio Pardo";181;153;164;498
"354650 Santa Ernestina";10;13;18;41
"354660 Santa Fé do Sul";99;111;122;332
"354670 Santa Gertrudes";31;44;42;117
"354680 Santa Isabel";134;142;148;424
"354690 Santa Lúcia";18;21;19;58
