 Mortalidade - Brasil
Óbitos p/Residênc por Município e Ano do Óbito
Faixa Etária: 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos
Período:1993-1995
"Município";"1993";"1994";"1995";"Total"
"412130 Rancho Alegre";8;11;10;29
"412135 Rancho Alegre D'Oeste";7;5;6;18
"412140 Realeza";16;30;19;65
"412150 Rebouças";32;21;30;83
"412160 Renascença";18;16;14;48
"412170 Reserva";42;37;37;116
"412180 Ribeirão Claro";25;25;23;73
"412190 Ribeirão do Pinhal";44;50;31;125
"412200 Rio Azul";17;23;26;66
"412210 Rio Bom";2;10;11;23
"412215 Rio Bonito do Iguaçu";8;8;5;21
"412220 Rio Branco do Sul";61;77;49;187
"412230 Rio Negro";57;49;61;167
"412240 Rolândia";98;91;89;278
"412250 Roncador";35;24;31;90
"412260 Rondon";9;15;21;45
"412265 Rosário do Ivaí";9;12;19;40
"412270 Sabáudia";11;11;16;38
"412280 Salgado Filho";21;9;11;41
"412290 Salto do Itararé";6;10;17;33
"412300 Salto do Lontra";22;23;20;65
"412310 Santa Amélia";6;7;7;20
"412320 Santa Cecília do Pavão";7;9;10;26
"412330 Santa Cruz de Monte Castelo";15;13;13;41
"412340 Santa Fé";12;14;10;36
"412350 Santa Helena";26;41;26;93
"412360 Santa Inês";2;5;3;10
"412370 Santa Isabel do Ivaí";16;16;13;45
"412380 Santa Izabel do Oeste";23;21;25;69
"412382 Santa Lúcia";10;7;7;24
"412385 Santa Maria do Oeste";11;16;19;46
"412390 Santa Mariana";32;43;45;120
"412395 Santa Mônica";4;3;2;9
"412402 Santa Tereza do Oeste";12;13;9;34
"412405 Santa Terezinha de Itaipu";29;28;23;80
"412400 Santana do Itararé";14;13;8;35
"412410 Santo Antônio da Platina";94;92;73;259
"412420 Santo Antônio do Caiuá";8;7;11;26
"412430 Santo Antônio do Paraíso";12;4;4;20
"412440 Santo Antônio do Sudoeste";34;28;29;91
"412450 Santo Inácio";9;20;7;36
"412460 São Carlos do Ivaí";10;9;8;27
"412470 São Jerônimo da Serra";22;24;35;81
"412480 São João";23;17;20;60
"412490 São João do Caiuá";16;17;13;46
"412500 São João do Ivaí";33;34;35;102
"412510 São João do Triunfo";24;7;5;36
"412520 São Jorge d'Oeste";19;12;9;40
"412530 São Jorge do Ivaí";7;12;12;31
"412535 São Jorge do Patrocínio";9;17;9;35
"412540 São José da Boa Vista";17;13;9;39
"412545 São José das Palmeiras";12;4;13;29
"412550 São José dos Pinhais";297;392;379;1068
"412555 São Manoel do Paraná";4;5;1;10
"412560 São Mateus do Sul";69;65;74;208
"412570 São Miguel do Iguaçu";37;52;26;115
"412575 São Pedro do Iguaçu";15;6;10;31
"412580 São Pedro do Ivaí";15;21;17;53
"412590 São Pedro do Paraná";5;6;4;15
"412600 São Sebastião da Amoreira";17;15;15;47
"412610 São Tomé";8;10;7;25
"412620 Sapopema";11;21;17;49
"412625 Sarandi";101;111;131;343
"412627 Saudade do Iguaçu";2;1;5;8
"412630 Sengés";25;31;39;95
"412640 Sertaneja";15;14;11;40
"412650 Sertanópolis";31;31;31;93
"412660 Siqueira Campos";36;32;36;104
"412665 Sulina";8;5;5;18
"412670 Tamboara";6;4;5;15
"412680 Tapejara";18;10;16;44
"412690 Tapira";13;19;10;42
"412700 Teixeira Soares";18;22;23;63
"412710 Telêmaco Borba";161;166;149;476
"412720 Terra Boa";38;21;24;83
"412730 Terra Rica";22;18;18;58
"412740 Terra Roxa";24;31;34;89
"412750 Tibagi";31;35;30;96
"412760 Tijucas do Sul";21;22;18;61
"412770 Toledo";152;172;176;500
"412780 Tomazina";27;25;20;72
"412785 Três Barras do Paraná";19;28;24;71
"412788 Tunas do Paraná";2;5;3;10
"412790 Tuneiras do Oeste";21;21;15;57
"412795 Tupãssi";16;13;10;39
"412796 Turvo";16;28;18;62
"412800 Ubiratã";48;42;43;133
"412810 Umuarama";190;188;183;561
"412820 União da Vitória";93;83;103;279
"412830 Uniflor";6;4;3;13
"412840 Uraí";34;26;25;85
"412853 Ventania";10;11;15;36
"412855 Vera Cruz do Oeste";21;18;31;70
"412860 Verê";13;19;18;50
"412865 Virmond";5;7;3;15
"412870 Vitorino";17;12;11;40
"412850 Wenceslau Braz";50;56;44;150
"412880 Xambrê";18;16;12;46
"410000 Município ignorado - PR";8;4;9;21
"420005 Abdon Batista";2;7;6;15
"420010 Abelardo Luz";22;25;22;69
"420020 Agrolândia";15;14;9;38
"420030 Agronômica";11;7;4;22
"420040 Água Doce";19;13;13;45
"420050 Águas de Chapecó";12;8;20;40
"420055 Águas Frias";7;2;7;16
"420060 Águas Mornas";5;7;10;22
"420070 Alfredo Wagner";12;15;17;44
"420080 Anchieta";12;10;12;34
"420090 Angelina";8;7;15;30
"420100 Anita Garibaldi";20;21;15;56
"420110 Anitápolis";3;8;4;15
"420120 Antônio Carlos";6;12;6;24
"420125 Apiúna";12;8;13;33
"420127 Arabutã";4;3;5;12
"420130 Araquari";28;19;39;86
"420140 Araranguá";103;100;95;298
"420150 Armazém";4;15;8;27
"420160 Arroio Trinta";6;3;2;11
"420165 Arvoredo";1;-;3;4
"420170 Ascurra";14;7;14;35
"420180 Atalanta";6;8;9;23
"420190 Aurora";5;14;3;22
"420205 Balneário Barra do Sul";5;14;8;27
"420200 Balneário Camboriú";108;97;123;328
"421280 Balneário Piçarras";20;16;16;52
"420210 Barra Velha";31;26;33;90
"420215 Belmonte";6;5;5;16
"420220 Benedito Novo";16;12;18;46
"420230 Biguaçu";79;91;81;251
"420240 Blumenau";401;406;420;1227
"420250 Bom Jardim da Serra";10;10;6;26
"420260 Bom Retiro";18;13;15;46
"420245 Bombinhas";8;2;8;18
"420270 Botuverá";1;5;5;11
"420280 Braço do Norte";22;34;38;94
"420285 Braço do Trombudo";4;4;4;12
"420290 Brusque";101;138;123;362
"420300 Caçador";117;121;117;355
"420310 Caibi";11;9;12;32
"420315 Calmon";7;2;2;11
"420320 Camboriú";79;73;74;226
"420330 Campo Alegre";23;22;14;59
"420340 Campo Belo do Sul";14;14;8;36
"420350 Campo Erê";42;48;31;121
"420360 Campos Novos";57;62;73;192
"420370 Canelinha";10;12;16;38
"420380 Canoinhas";129;127;113;369
"420390 Capinzal";20;23;31;74
"420395 Capivari de Baixo";33;33;34;100
"420400 Catanduvas";11;9;9;29
"420410 Caxambu do Sul";6;7;10;23
"420415 Celso Ramos";6;5;5;16
"420417 Cerro Negro";4;6;11;21
"420420 Chapecó";216;200;197;613
"420425 Cocal do Sul";17;4;2;23
"420430 Concórdia";86;89;97;272
"420435 Cordilheira Alta";1;5;5;11
"420440 Coronel Freitas";9;11;11;31
"420445 Coronel Martins";3;5;4;12
"420455 Correia Pinto";23;27;28;78
"420450 Corupá";21;18;27;66
"420460 Criciúma";281;320;284;885
"420470 Cunha Porã";16;22;14;52
"420480 Curitibanos";79;86;95;260
"420490 Descanso";5;9;13;27
"420500 Dionísio Cerqueira";27;22;24;73
"420510 Dona Emma";5;5;6;16
"420515 Doutor Pedrinho";4;6;9;19
"420520 Erval Velho";8;8;10;26
"420530 Faxinal dos Guedes";13;15;13;41
"420540 Florianópolis";509;596;588;1693
"420543 Formosa do Sul";2;2;1;5
"420545 Forquilhinha";18;18;14;50
"420550 Fraiburgo";44;45;52;141
"420560 Galvão";10;10;8;28
"420570 Garopaba";12;14;11;37
"420580 Garuva";15;15;25;55
"420590 Gaspar";77;61;78;216
"420600 Governador Celso Ramos";18;17;20;55
"420610 Grão Pará";9;4;5;18
"420620 Gravatal";17;12;14;43
"420630 Guabiruba";11;18;12;41
"420640 Guaraciaba";20;22;19;61
"420650 Guaramirim";32;30;53;115
"420660 Guarujá do Sul";7;10;8;25
"420665 Guatambú";5;5;12;22
"420670 Herval d'Oeste";45;37;37;119
"420680 Ibicaré";7;-;4;11
"420690 Ibirama";23;29;29;81
"420700 Içara";59;68;70;197
"420710 Ilhota";24;17;19;60
"420720 Imaruí";30;18;33;81
"420730 Imbituba";63;57;74;194
"420740 Imbuia";5;9;7;21
"420750 Indaial";53;62;72;187
"420760 Ipira";5;10;11;26
"420765 Iporã do Oeste";8;8;15;31
"420768 Ipuaçu";2;8;9;19
"420770 Ipumirim";8;6;11;25
"420775 Iraceminha";8;5;7;20
"420780 Irani";10;14;20;44
"420785 Irati";2;1;3;6
"420790 Irineópolis";25;16;12;53
"420800 Itá";9;5;13;27
"420810 Itaiópolis";46;38;39;123
"420820 Itajaí";296;347;375;1018
"420830 Itapema";26;32;46;104
"420840 Itapiranga";15;19;22;56
"420845 Itapoá";8;7;4;19
"420850 Ituporanga";32;44;45;121
"420860 Jaborá";9;5;8;22
"420870 Jacinto Machado";17;16;22;55
"420880 Jaguaruna";25;22;26;73
"420890 Jaraguá do Sul";122;128;152;402
"420895 Jardinópolis";4;1;3;8
"420900 Joaçaba";46;49;76;171
"420910 Joinville";682;636;683;2001
"420915 José Boiteux";14;3;6;23
"420920 Lacerdópolis";5;2;5;12
"420930 Lages";336;360;348;1044
"420940 Laguna";102;101;109;312
"420950 Laurentino";9;5;3;17
"420960 Lauro Muller";28;32;25;85
"420970 Lebon Régis";24;20;13;57
"420980 Leoberto Leal";4;1;5;10
"420985 Lindóia do Sul";5;6;4;15
"420990 Lontras";24;7;12;43
"421000 Luiz Alves";8;5;11;24
"421005 Macieira";-;3;-;3
"421010 Mafra";95;89;103;287
"421020 Major Gercino";6;7;1;14
"421030 Major Vieira";9;6;15;30
"421040 Maracajá";7;17;14;38
"421050 Maravilha";38;33;38;109
"421055 Marema";7;8;5;20
"421060 Massaranduba";19;19;22;60
"421070 Matos Costa";6;9;9;24
"421080 Meleiro";8;4;10;22
"421085 Mirim Doce";3;4;-;7
"421090 Modelo";11;7;6;24
"421100 Mondaí";15;14;12;41
"421105 Monte Carlo";8;3;17;28
"421110 Monte Castelo";18;17;28;63
"421120 Morro da Fumaça";27;15;19;61
"421125 Morro Grande";2;2;5;9
"421130 Navegantes";61;44;71;176
"421140 Nova Erechim";10;4;6;20
"421145 Nova Itaberaba";4;4;4;12
"421150 Nova Trento";27;17;11;55
"421160 Nova Veneza";15;9;11;35
"421165 Novo Horizonte";3;2;4;9
"421170 Orleans";31;14;29;74
"421175 Otacílio Costa";27;21;28;76
"421180 Ouro";7;12;11;30
"421185 Ouro Verde";4;4;1;9
"421190 Palhoça";129;127;129;385
"421200 Palma Sola";14;7;12;33
"421210 Palmitos";35;28;30;93
"421220 Papanduva";27;30;37;94
"421223 Paraíso";4;6;5;15
"421225 Passo de Torres";3;3;1;7
"421227 Passos Maia";-;8;5;13
"421230 Paulo Lopes";14;11;17;42
"421240 Pedras Grandes";5;7;10;22
"421250 Penha";27;31;44;102
"421260 Peritiba";2;5;3;10
"421270 Petrolândia";7;9;11;27
"421290 Pinhalzinho";15;18;17;50
"421300 Pinheiro Preto";-;2;2;4
"421310 Piratuba";5;1;9;15
"421315 Planalto Alegre";3;1;2;6
"421320 Pomerode";31;36;32;99
"421330 Ponte Alta";14;13;8;35
"421335 Ponte Alta do Norte";5;8;8;21
"421340 Ponte Serrada";24;30;17;71
"421350 Porto Belo";16;25;16;57
"421360 Porto União";65;54;77;196
"421370 Pouso Redondo";17;32;23;72
"421380 Praia Grande";8;13;21;42
"421390 Presidente Castello Branco";2;5;1;8
"421400 Presidente Getúlio";11;26;20;57
"421410 Presidente Nereu";3;3;1;7
"421420 Quilombo";16;13;17;46
"421430 Rancho Queimado";7;3;7;17
"421440 Rio das Antas";7;7;10;24
"421450 Rio do Campo";19;6;11;36
"421460 Rio do Oeste";12;16;5;33
"421480 Rio do Sul";107;93;108;308
"421470 Rio dos Cedros";10;13;23;46
"421490 Rio Fortuna";2;3;2;7
"421500 Rio Negrinho";72;55;59;186
"421505 Rio Rufino";4;5;2;11
"421507 Riqueza";14;8;6;28
"421510 Rodeio";12;23;10;45
"421520 Romelândia";9;8;13;30
"421530 Salete";7;15;14;36
"421540 Salto Veloso";12;3;4;19
"421545 Sangão";7;11;12;30
"421550 Santa Cecília";34;39;25;98
"421555 Santa Helena";-;3;5;8
"421560 Santa Rosa de Lima";2;2;4;8
"421565 Santa Rosa do Sul";9;8;11;28
"421567 Santa Terezinha";5;10;9;24
"421570 Santo Amaro da Imperatriz";21;31;20;72
"421580 São Bento do Sul";123;111;107;341
"421590 São Bonifácio";6;10;3;19
"421600 São Carlos";16;17;15;48
"421605 São Cristovão do Sul";4;10;9;23
"421610 São Domingos";16;12;16;44
"421620 São Francisco do Sul";53;83;73;209
"421630 São João Batista";23;29;28;80
"421635 São João do Itaperiú";7;7;2;16
"421625 São João do Oeste";5;8;8;21
"421640 São João do Sul";12;10;9;31
"421650 São Joaquim";42;37;35;114
"421660 São José";251;268;259;778
"421670 São José do Cedro";31;17;24;72
"421680 São José do Cerrito";19;13;14;46
"421690 São Lourenço do Oeste";29;32;28;89
"421700 São Ludgero";10;12;13;35
"421710 São Martinho";4;4;5;13
"421715 São Miguel da Boa Vista";3;2;1;6
"421720 São Miguel do Oeste";68;42;62;172
"421730 Saudades";11;6;14;31
"421740 Schroeder";7;12;17;36
"421750 Seara";25;19;25;69
"421755 Serra Alta";4;5;1;10
"421760 Siderópolis";27;16;29;72
"421770 Sombrio";51;48;49;148
"421775 Sul Brasil";3;5;5;13
"421780 Taió";24;36;23;83
"421790 Tangará";16;17;18;51
"421800 Tijucas";34;37;42;113
"421810 Timbé do Sul";11;7;13;31
"421820 Timbó";45;37;42;124
"421825 Timbó Grande";3;8;6;17
"421830 Três Barras";31;35;27;93
"421840 Treze de Maio";4;8;11;23
"421850 Treze Tílias";10;6;7;23
"421860 Trombudo Central";6;15;12;33
"421870 Tubarão";157;170;177;504
"421875 Tunápolis";6;4;10;20
"421880 Turvo";24;21;29;74
"421885 União do Oeste";1;3;2;6
"421890 Urubici";9;11;23;43
"421895 Urupema";3;1;6;10
"421900 Urussanga";39;41;33;113
"421910 Vargeão";1;2;3;6
"421915 Vargem";4;4;2;10
"421917 Vargem Bonita";13;14;9;36
"421920 Vidal Ramos";7;9;14;30
"421930 Videira";67;42;74;183
"421935 Vitor Meireles";4;12;7;23
"421940 Witmarsum";5;6;4;15
"421950 Xanxerê";53;69;86;208
"421960 Xavantina";8;5;4;17
"421970 Xaxim";29;35;27;91
"420000 Município ignorado - SC";8;1;5;14
"430005 Água Santa";10;5;2;17
"430010 Agudo";22;18;26;66
"430020 Ajuricaba";9;16;19;44
"430030 Alecrim";17;16;17;50
"430040 Alegrete";195;160;162;517
"430045 Alegria";8;13;9;30
"430050 Alpestre";19;26;25;70
"430055 Alto Alegre";-;1;5;6
"430057 Alto Feliz";3;5;4;12
"430060 Alvorada";441;450;476;1367
"430063 Amaral Ferrador";7;8;13;28
"430064 Ametista do Sul";4;5;5;14
"430066 André da Rocha";2;2;-;4
"430070 Anta Gorda";7;7;5;19
"430080 Antônio Prado";24;10;14;48
"430085 Arambaré";7;6;6;19
"430090 Aratiba";12;11;6;29
"430100 Arroio do Meio";18;21;23;62
"430105 Arroio do Sal";10;8;6;24
"430120 Arroio do Tigre";23;24;32;79
"430110 Arroio dos Ratos";30;38;29;97
"430130 Arroio Grande";57;48;34;139
"430140 Arvorezinha";18;11;22;51
"430150 Augusto Pestana";17;7;23;47
"430155 Áurea";7;8;6;21
"430160 Bagé";290;283;287;860
"430165 Barão";11;6;11;28
"430170 Barão de Cotegipe";9;8;8;25
"430175 Barão do Triunfo";10;14;9;33
"430185 Barra do Guarita";7;6;1;14
"430190 Barra do Ribeiro";31;19;27;77
"430192 Barra do Rio Azul";2;3;-;5
"430195 Barra Funda";3;3;4;10
"430180 Barracão";9;11;8;28
"430200 Barros Cassal";21;19;20;60
"430210 Bento Gonçalves";125;145;135;405
"430215 Boa Vista das Missões";5;2;2;9
"430220 Boa Vista do Buricá";17;7;15;39
"430230 Bom Jesus";34;26;28;88
"430235 Bom Princípio";11;11;10;32
"430237 Bom Progresso";2;3;5;10
"430240 Bom Retiro do Sul";32;33;23;88
"430245 Boqueirão do Leão";9;16;10;35
"430250 Bossoroca";17;16;19;52
"430260 Braga";3;7;8;18
"430265 Brochier";10;6;7;23
"430270 Butiá";48;48;30;126
"430280 Caçapava do Sul";84;86;105;275
"430290 Cacequi";33;29;31;93
"430300 Cachoeira do Sul";194;200;185;579
"430310 Cachoeirinha";267;276;269;812
"430320 Cacique Doble";5;8;10;23
"430330 Caibaté";15;10;11;36
"430340 Caiçara";7;8;11;26
"430350 Camaquã";146;120;108;374
"430355 Camargo";3;4;3;10
"430360 Cambará do Sul";6;12;11;29
"430367 Campestre da Serra";8;6;2;16
"430370 Campina das Missões";8;11;10;29
"430380 Campinas do Sul";11;12;12;35
"430390 Campo Bom";100;89;103;292
"430400 Campo Novo";20;15;15;50
"430410 Campos Borges";6;6;2;14
"430420 Candelária";77;68;59;204
"430430 Cândido Godói";19;12;14;45
"430435 Candiota";12;11;13;36
"430440 Canela";64;65;65;194
"430450 Canguçu";104;96;98;298
"430460 Canoas";738;730;689;2157
"430463 Capão da Canoa";37;50;41;128
"430466 Capão do Leão";41;48;38;127
"430468 Capela de Santana";13;9;15;37
"430469 Capitão";6;-;5;11
"430470 Carazinho";107;110;128;345
"430480 Carlos Barbosa";19;22;22;63
"430485 Carlos Gomes";1;5;4;10
"430490 Casca";19;13;12;44
"430495 Caseiros";9;5;6;20
"430500 Catuípe";17;18;15;50
"430510 Caxias do Sul";628;596;664;1888
"430511 Centenário";4;7;5;16
"430513 Cerro Branco";5;12;17;34
"430515 Cerro Grande";3;9;7;19
"430517 Cerro Grande do Sul";14;12;18;44
"430520 Cerro Largo";23;17;19;59
"430530 Chapada";13;15;12;40
"430535 Charqueadas";48;51;73;172
"430537 Charrua";2;2;4;8
"430540 Chiapetta";8;5;4;17
"430545 Cidreira";22;25;27;74
"430550 Ciríaco";9;7;11;27
"430558 Colinas";3;3;5;11
"430560 Colorado";4;2;7;13
"430570 Condor";12;10;10;32
"430580 Constantina";18;20;17;55
"430585 Coqueiros do Sul";7;5;3;15
"430587 Coronel Barros";2;4;2;8
"430590 Coronel Bicaco";16;15;17;48
"430595 Cotiporã";6;7;8;21
"430597 Coxilha";5;9;8;22
"430600 Crissiumal";33;29;28;90
"430605 Cristal";16;16;10;42
"430610 Cruz Alta";145;163;149;457
"430620 Cruzeiro do Sul";26;17;19;62
"430630 David Canabarro";7;4;5;16
"430632 Derrubadas";7;10;7;24
"430635 Dezesseis de Novembro";8;6;3;17
"430640 Dois Irmãos";26;33;28;87
"430642 Dois Irmãos das Missões";5;3;2;10
"430645 Dois Lajeados";3;5;1;9
"430650 Dom Feliciano";21;19;20;60
"430660 Dom Pedrito";104;95;83;282
"430670 Dona Francisca";4;10;7;21
"430673 Doutor Maurício Cardoso";11;14;7;32
"430676 Eldorado do Sul";42;44;45;131
"430680 Encantado";35;37;40;112
"430690 Encruzilhada do Sul";62;49;42;153
"430692 Engenho Velho";4;7;2;13
"430695 Entre Rios do Sul";3;6;1;10
"430693 Entre-Ijuís";14;24;21;59
"430697 Erebango";5;4;5;14
"430700 Erechim";107;143;152;402
"430705 Ernestina";9;8;8;25
"430720 Erval Grande";9;11;10;30
"430730 Erval Seco";15;20;14;49
"430740 Esmeralda";12;14;7;33
"430750 Espumoso";32;32;34;98
"430755 Estação";9;11;6;26
"430760 Estância Velha";56;61;61;178
"430770 Esteio";205;170;186;561
"430780 Estrela";43;51;66;160
"430783 Eugênio de Castro";4;6;4;14
"430786 Fagundes Varela";3;4;1;8
"430790 Farroupilha";82;84;94;260
"430800 Faxinal do Soturno";9;13;14;36
"430805 Faxinalzinho";9;5;3;17
"430810 Feliz";14;21;19;54
"430820 Flores da Cunha";23;27;41;91
"430830 Fontoura Xavier";16;26;25;67
"430840 Formigueiro";10;18;13;41
"430845 Fortaleza dos Valos";6;3;5;14
"430850 Frederico Westphalen";57;49;54;160
"430860 Garibaldi";46;40;39;125
"430865 Garruchos";4;3;2;9
"430870 Gaurama";14;5;14;33
"430880 General Câmara";29;28;18;75
"430885 Gentil";-;2;2;4
"430890 Getúlio Vargas";36;35;30;101
"430900 Giruá";49;48;42;139
"430905 Glorinha";9;10;10;29
"430910 Gramado";48;50;39;137
"430912 Gramado dos Loureiros";3;4;5;12
"430915 Gramado Xavier";3;3;7;13
"430920 Gravataí";392;374;421;1187
"430925 Guabiju";-;3;1;4
"430930 Guaíba";174;199;164;537
"430940 Guaporé";39;29;39;107
"430950 Guarani das Missões";15;19;19;53
"430955 Harmonia";5;7;3;15
"430710 Herval";16;14;11;41
"430960 Horizontina";34;25;28;87
"430965 Hulha Negra";14;14;6;34
"430970 Humaitá";6;11;8;25
"430975 Ibarama";5;6;5;16
"430980 Ibiaçá";11;12;9;32
"430990 Ibiraiaras";11;12;9;32
"430995 Ibirapuitã";11;9;9;29
"431000 Ibirubá";21;24;31;76
"431010 Igrejinha";41;40;40;121
"431020 Ijuí";130;163;157;450
"431030 Ilópolis";2;8;3;13
"431033 Imbé";17;17;26;60
"431036 Imigrante";4;8;9;21
"431040 Independência";15;13;10;38
"431041 Inhacorá";1;4;6;11
"431043 Ipê";11;9;13;33
"431046 Ipiranga do Sul";8;1;5;14
"431050 Iraí";27;19;24;70
"431055 Itacurubi";4;6;6;16
"431057 Itapuca";3;2;1;6
"431060 Itaqui";99;103;82;284
"431070 Itatiba do Sul";4;6;7;17
"431075 Ivorá";-;4;3;7
"431080 Ivoti";15;16;23;54
"431085 Jaboticaba";10;7;9;26
"431090 Jacutinga";5;5;6;16
"431100 Jaguarão";81;69;59;209
"431110 Jaguari";31;19;28;78
"431112 Jaquirana";2;11;4;17
"431115 Jóia";10;15;5;30
"431120 Júlio de Castilhos";51;37;38;126
"431127 Lagoa dos Três Cantos";4;2;5;11
"431130 Lagoa Vermelha";58;70;67;195
"431125 Lagoão";10;8;10;28
"431140 Lajeado";105;114;141;360
"431142 Lajeado do Bugre";1;2;2;5
"431150 Lavras do Sul";23;17;23;63
"431160 Liberato Salzano";12;8;13;33
"431162 Lindolfo Collor";8;11;4;23
"431164 Linha Nova";3;4;6;13
"431170 Machadinho";8;14;7;29
"431175 Manoel Viana";9;15;13;37
"431177 Maquiné";10;15;19;44
"431179 Maratá";2;3;6;11
"431180 Marau";36;33;40;109
"431190 Marcelino Ramos";11;6;13;30
"431198 Mariana Pimentel";4;5;4;13
"431200 Mariano Moro";5;3;5;13
"431210 Mata";18;11;9;38
"431213 Mato Castelhano";3;4;5;12
"431215 Mato Leitão";-;5;5;10
"431220 Maximiliano de Almeida";18;11;14;43
"431225 Minas do Leão";19;16;14;49
"431230 Miraguaí";10;10;11;31
"431235 Montauri";1;1;1;3
"431238 Monte Belo do Sul";3;4;-;7
"431240 Montenegro";104;114;110;328
"431242 Mormaço";6;4;4;14
"431244 Morrinhos do Sul";5;7;3;15
"431245 Morro Redondo";11;10;6;27
"431247 Morro Reuter";6;3;5;14
"431250 Mostardas";17;22;21;60
"431260 Muçum";15;11;13;39
"431262 Muliterno";1;4;-;5
"431265 Não-Me-Toque";16;23;29;68
"431267 Nicolau Vergueiro";2;-;3;5
"431270 Nonoai";21;23;21;65
"431275 Nova Alvorada";-;10;6;16
"431280 Nova Araçá";2;2;1;5
"431290 Nova Bassano";17;11;9;37
"431295 Nova Boa Vista";5;4;3;12
"431300 Nova Bréscia";9;9;7;25
"431303 Nova Esperança do Sul";11;10;10;31
"431306 Nova Hartz";23;20;13;56
"431308 Nova Pádua";7;6;2;15
"431310 Nova Palma";7;6;6;19
"431320 Nova Petrópolis";28;29;20;77
"431330 Nova Prata";21;25;27;73
"431335 Nova Roma do Sul";4;5;2;11
"431337 Nova Santa Rita";21;23;27;71
"431349 Novo Barreiro";9;11;5;25
"431340 Novo Hamburgo";526;510;477;1513
"431342 Novo Machado";10;7;12;29
"431344 Novo Tiradentes";1;2;1;4
"431350 Osório";55;72;60;187
"431360 Paim Filho";9;3;10;22
"431365 Palmares do Sul";31;21;23;75
"431370 Palmeira das Missões";75;80;79;234
"431380 Palmitinho";10;8;10;28
"431390 Panambi";48;39;61;148
"431395 Pantano Grande";15;25;16;56
"431400 Paraí";7;9;13;29
"431402 Paraíso do Sul";14;16;18;48
"431403 Pareci Novo";3;2;6;11
"431405 Parobé";60;76;65;201
"431407 Passo do Sobrado";9;8;3;20
"431410 Passo Fundo";353;386;366;1105
"431415 Paverama";9;14;14;37
"431420 Pedro Osório";40;46;45;131
"431430 Pejuçara";5;1;6;12
"431440 Pelotas";703;723;826;2252
"431442 Picada Café";1;5;2;8
"431445 Pinhal";6;3;5;14
"431447 Pinhal Grande";2;5;9;16
"431449 Pinheirinho do Vale";8;3;3;14
"431450 Pinheiro Machado";37;33;39;109
"431455 Pirapó";3;9;5;17
"431460 Piratini";33;33;38;104
"431470 Planalto";13;20;18;51
"431475 Poço das Antas";8;7;2;17
"431477 Pontão";5;8;3;16
"431478 Ponte Preta";5;2;2;9
"431480 Portão";48;49;46;143
"431490 Porto Alegre";3209;3248;3239;9696
"431500 Porto Lucena";12;20;12;44
"431505 Porto Mauá";4;2;2;8
"431507 Porto Vera Cruz";1;7;4;12
"431510 Porto Xavier";32;18;16;66
"431513 Pouso Novo";6;2;5;13
"431514 Presidente Lucena";1;1;4;6
"431515 Progresso";13;12;10;35
"431517 Protásio Alves";4;1;1;6
"431520 Putinga";6;6;8;20
"431530 Quaraí";52;51;45;148
"431532 Quevedos";2;6;3;11
"431535 Quinze de Novembro";6;9;9;24
"431540 Redentora";12;9;7;28
"431545 Relvado";7;3;1;11
"431550 Restinga Seca";33;31;27;91
"431555 Rio dos Índios";9;14;6;29
"431560 Rio Grande";511;496;492;1499
"431570 Rio Pardo";78;76;72;226
"431575 Riozinho";5;8;7;20
"431580 Roca Sales";10;13;18;41
"431590 Rodeio Bonito";16;12;11;39
"431600 Rolante";28;24;25;77
"431610 Ronda Alta";18;10;18;46
"431620 Rondinha";4;11;4;19
"431630 Roque Gonzales";12;9;17;38
"431640 Rosário do Sul";103;96;76;275
"431642 Sagrada Família";4;3;4;11
"431643 Saldanha Marinho";6;7;7;20
"431645 Salto do Jacuí";26;19;15;60
"431647 Salvador das Missões";2;7;1;10
"431650 Salvador do Sul";10;8;9;27
"431660 Sananduva";17;23;23;63
"431710 Sant'Ana do Livramento";168;170;176;514
"431670 Santa Bárbara do Sul";15;13;21;49
"431675 Santa Clara do Sul";6;5;4;15
"431680 Santa Cruz do Sul";188;190;218;596
"431690 Santa Maria";460;436;457;1353
"431695 Santa Maria do Herval";13;8;18;39
"431720 Santa Rosa";111;130;142;383
"431725 Santa Tereza";2;3;5;10
"431730 Santa Vitória do Palmar";100;99;66;265
"431700 Santana da Boa Vista";14;18;11;43
"431740 Santiago";119;128;107;354
"431750 Santo Ângelo";150;153;163;466
"431760 Santo Antônio da Patrulha";96;66;71;233
"431770 Santo Antônio das Missões";30;45;27;102
"431755 Santo Antônio do Palma";5;-;3;8
"431775 Santo Antônio do Planalto";2;2;1;5
"431780 Santo Augusto";28;29;35;92
"431790 Santo Cristo";13;15;22;50
"431795 Santo Expedito do Sul";2;3;6;11
"431800 São Borja";150;145;150;445
"431805 São Domingos do Sul";3;5;2;10
"431810 São Francisco de Assis";38;45;29;112
"431820 São Francisco de Paula";40;46;46;132
"431830 São Gabriel";165;146;137;448
"431840 São Jerônimo";48;43;35;126
"431842 São João da Urtiga";10;7;8;25
"431843 São João do Polêsine";5;5;2;12
"431844 São Jorge";6;4;2;12
"431845 São José das Missões";9;9;10;28
"431846 São José do Herval";9;5;4;18
"431848 São José do Hortêncio";2;7;4;13
"431849 São José do Inhacorá";2;5;3;10
"431850 São José do Norte";53;37;47;137
"431860 São José do Ouro";13;14;14;41
"431862 São José dos Ausentes";5;4;2;11
