 Mortalidade - Brasil
Óbitos p/Residênc por Município e Ano do Óbito
Faixa Etária: 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos
Período:1993-1995
"Município";"1993";"1994";"1995";"Total"
"411110 Itambé";13;13;15;41
"411120 Itapejara d'Oeste";17;10;10;37
"411125 Itaperuçu";18;30;26;74
"411130 Itaúna do Sul";6;6;5;17
"411140 Ivaí";29;29;22;80
"411150 Ivaiporã";84;67;77;228
"411155 Ivaté";7;16;3;26
"411160 Ivatuba";2;9;5;16
"411170 Jaboti";7;2;7;16
"411180 Jacarezinho";116;98;121;335
"411190 Jaguapitã";26;29;14;69
"411200 Jaguariaíva";63;63;58;184
"411210 Jandaia do Sul";34;38;32;104
"411220 Janiópolis";17;9;16;42
"411230 Japira";1;2;7;10
"411240 Japurá";9;11;7;27
"411250 Jardim Alegre";32;14;27;73
"411260 Jardim Olinda";1;1;2;4
"411270 Jataizinho";25;31;29;85
"411275 Jesuítas";22;10;23;55
"411280 Joaquim Távora";23;29;20;72
"411290 Jundiaí do Sul";12;5;6;23
"411295 Juranda";12;14;22;48
"411300 Jussara";6;13;13;32
"411310 Kaloré";7;12;8;27
"411320 Lapa";67;85;91;243
"411325 Laranjal";7;17;9;33
"411330 Laranjeiras do Sul";84;81;65;230
"411340 Leópolis";6;6;8;20
"411342 Lidianópolis";12;10;5;27
"411345 Lindoeste";15;8;7;30
"411350 Loanda";29;34;30;93
"411360 Lobato";5;8;7;20
"411370 Londrina";795;827;809;2431
"411373 Luiziana";19;9;18;46
"411375 Lunardelli";17;14;10;41
"411380 Lupionópolis";8;15;6;29
"411390 Mallet";33;23;21;77
"411400 Mamborê";38;33;30;101
"411410 Mandaguaçu";30;39;29;98
"411420 Mandaguari";56;68;54;178
"411430 Mandirituba";50;38;26;114
"411440 Mangueirinha";35;36;31;102
"411450 Manoel Ribas";26;22;20;68
"411460 Marechal Cândido Rondon";68;79;73;220
"411470 Maria Helena";10;13;17;40
"411480 Marialva";40;40;35;115
"411490 Marilândia do Sul";13;18;19;50
"411500 Marilena";16;17;12;45
"411510 Mariluz";22;26;20;68
"411520 Maringá";445;488;512;1445
"411530 Mariópolis";9;9;8;26
"411535 Maripá";8;5;10;23
"411540 Marmeleiro";21;17;12;50
"411550 Marumbi";12;10;10;32
"411560 Matelândia";28;22;29;79
"411570 Matinhos";28;39;41;108
"411573 Mato Rico";11;10;9;30
"411575 Mauá da Serra";13;12;11;36
"411580 Medianeira";76;74;79;229
"411585 Mercedes";2;9;7;18
"411590 Mirador";3;2;-;5
"411600 Miraselva";12;11;5;28
"411605 Missal";17;15;16;48
"411610 Moreira Sales";34;30;28;92
"411620 Morretes";33;30;31;94
"411630 Munhoz de Melo";5;7;7;19
