 Mortalidade - Brasil
Óbitos p/Residênc por Município e Ano do Óbito
Faixa Etária: 1 a 4 anos
Período:1996-2012
"Município";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"Total"
"120034 Manoel Urbano";-;-;-;-;1;-;-;2;-;-;-;1;3;1;-;-;1;9
"120035 Marechal Thaumaturgo";-;-;-;1;1;-;-;1;-;1;-;-;2;2;3;-;2;13
"120038 Plácido de Castro";5;2;3;-;2;1;1;2;5;4;-;3;2;2;4;-;2;38
"120080 Porto Acre";-;-;-;1;-;-;1;-;1;4;-;2;-;-;1;-;-;10
"120039 Porto Walter";-;-;2;2;-;-;-;3;2;3;-;-;1;1;1;2;2;19
"120040 Rio Branco";39;38;38;33;33;33;24;18;24;27;20;19;16;22;21;21;17;443
"120042 Rodrigues Alves";-;-;1;-;1;-;1;1;1;3;-;1;1;2;-;-;-;12
"120043 Santa Rosa do Purus";-;-;-;1;-;-;-;-;-;5;3;5;3;1;-;2;-;20
"120050 Sena Madureira";4;1;4;3;4;4;1;4;3;3;1;3;5;5;1;4;3;53
"120045 Senador Guiomard";-;1;2;-;2;1;1;1;1;-;2;-;-;-;2;2;1;16
"120060 Tarauacá";-;-;5;4;8;6;7;7;10;8;5;3;7;8;3;6;4;91
"120070 Xapuri";1;-;-;-;4;-;1;2;1;3;3;-;3;1;4;-;1;24
"120000 Município ignorado - AC";-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2
"130002 Alvarães";1;-;-;-;-;-;1;1;-;5;-;1;-;2;1;1;-;13
"130006 Amaturá";-;-;2;-;-;1;-;1;1;-;1;4;3;4;1;2;1;21
"130008 Anamã";-;-;-;-;2;-;3;1;3;2;2;1;1;1;1;-;2;19
"130010 Anori";-;2;1;2;3;1;-;3;2;1;1;2;-;1;-;1;1;21
"130014 Apuí";4;-;4;1;1;-;1;1;-;1;1;-;-;1;-;1;-;16
"130020 Atalaia do Norte";3;1;1;1;5;2;2;4;8;2;2;3;5;3;8;1;8;59
"130030 Autazes";1;-;1;1;4;4;3;1;5;5;3;8;3;8;7;5;2;61
"130040 Barcelos";2;1;4;-;1;1;3;4;4;3;2;-;-;2;1;1;2;31
"130050 Barreirinha";-;-;2;1;3;3;-;3;2;3;-;3;2;5;4;4;3;38
"130060 Benjamin Constant";-;-;-;3;1;7;6;3;6;3;5;1;9;7;13;11;4;79
"130063 Beruri";-;1;1;1;4;1;6;2;4;3;2;2;3;3;2;1;3;39
"130068 Boa Vista do Ramos";-;-;-;2;5;1;6;4;-;4;1;2;3;6;1;-;4;39
"130070 Boca do Acre";-;-;-;1;5;1;2;-;1;3;-;1;-;3;2;2;-;21
"130080 Borba";-;1;-;1;2;6;7;2;3;4;2;6;3;4;6;7;7;61
"130083 Caapiranga";-;1;-;1;2;3;1;-;-;1;-;-;3;-;-;2;1;15
"130090 Canutama";2;-;-;2;2;2;1;-;1;-;1;1;-;-;1;1;-;14
"130100 Carauari";6;3;3;5;5;8;5;2;16;9;5;2;8;3;2;1;2;85
"130110 Careiro";-;1;1;2;4;2;3;4;3;1;-;1;1;1;-;4;1;29
"130115 Careiro da Várzea";-;-;-;-;2;-;2;3;3;3;1;3;3;3;-;-;1;24
"130120 Coari";2;1;4;3;7;12;11;8;7;10;11;3;8;13;4;3;5;112
"130130 Codajás";2;3;4;-;2;1;2;4;2;-;-;1;-;1;1;-;-;23
"130140 Eirunepé";2;-;-;2;-;4;14;10;4;9;4;10;8;7;8;6;14;102
"130150 Envira";-;1;1;1;5;-;7;4;4;5;1;-;2;3;6;3;3;46
"130160 Fonte Boa";-;-;-;2;17;3;2;4;5;2;-;-;-;1;2;2;2;42
"130165 Guajará";-;-;-;-;-;-;1;3;4;2;2;1;3;3;-;1;1;21
"130170 Humaitá";-;5;3;3;2;4;2;2;3;4;2;2;5;-;1;3;-;41
"130180 Ipixuna";-;-;1;1;2;2;3;2;2;7;1;-;-;2;2;1;-;26
"130185 Iranduba";1;2;1;7;7;1;4;12;4;4;-;5;6;3;2;5;3;67
"130190 Itacoatiara";5;11;12;7;9;8;7;8;15;12;8;11;8;9;5;8;5;148
"130195 Itamarati";1;1;1;1;2;2;-;2;3;4;2;-;-;4;-;1;-;24
"130200 Itapiranga";-;-;1;-;1;1;-;-;-;1;1;-;-;1;1;1;1;9
"130210 Japurá";-;-;-;-;-;-;1;1;1;-;-;1;2;-;-;1;1;8
"130220 Juruá";-;-;1;3;7;-;-;-;-;-;1;-;1;-;-;1;1;15
"130230 Jutaí";-;-;1;-;-;3;2;3;3;2;4;2;2;1;2;2;6;33
"130240 Lábrea";5;-;-;5;4;3;2;4;5;5;-;7;2;6;4;1;3;56
"130250 Manacapuru";3;2;9;10;11;10;11;9;7;1;11;10;3;15;8;8;5;133
"130255 Manaquiri";-;-;1;-;4;-;4;4;3;3;4;5;1;1;1;1;2;34
"130260 Manaus";190;211;217;265;186;189;138;145;126;114;150;107;110;108;109;111;90;2566
"130270 Manicoré";-;1;1;4;-;3;3;2;2;2;5;2;2;-;2;2;1;32
"130280 Maraã";-;-;-;-;2;3;-;3;2;2;1;-;3;2;-;2;3;23
"130290 Maués";4;-;2;7;3;9;14;6;12;10;8;5;5;10;12;5;5;117
"130300 Nhamundá";2;4;2;2;1;-;1;2;1;1;1;-;-;5;-;1;-;23
"130310 Nova Olinda do Norte";-;-;1;-;2;5;5;2;3;3;3;2;3;5;4;4;2;44
"130320 Novo Airão";-;3;2;2;2;5;2;1;2;1;1;-;3;2;1;1;1;29
"130330 Novo Aripuanã";1;-;2;1;2;1;1;1;3;4;-;1;-;1;1;-;2;21
"130340 Parintins";6;1;6;8;8;12;16;12;7;11;6;7;5;13;7;5;9;139
"130350 Pauini";-;-;-;2;5;2;1;2;-;2;1;3;1;2;2;-;1;24
"130353 Presidente Figueiredo";-;1;2;2;6;2;5;-;2;1;1;1;1;-;-;3;4;31
"130356 Rio Preto da Eva";-;-;1;4;1;-;2;1;-;-;1;1;1;1;3;1;-;17
